DIVISION,CLASE,ORDEN,FAMILIA,GENERO,ESPECIE,N_COMUN
CHORDATA,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,Puffinus lherminieri,
CHORDATA,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,Puffinus puffinus,
CHORDATA,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,Puffinus subalaris,
CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Pulsatrix,Pulsatrix melanota,
CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Pulsatrix,Pulsatrix perspicillata,
CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,Puma concolor,
CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Punomys,Punomys kofordi,
CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Punomys,Punomys lemminus,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Pycnomma,Pycnomma roosevelti,
CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Pygiptila,Pygiptila stellaris,
Chordata,Aves,Passeriformes,Hirudinidae,Pygochelidon,Pygochelidon cyanoleuca,Golondrina azul
CHORDATA,AVES,PASSERIFORMES,HIRUNDINIDAE,Pygochelidon,Pygochelidon melanoleuca,
CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Pyriglena,Pyriglena leuconota,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrilia,Pyrilia barrabandi,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrilia,Pyrilia caica,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrilia,Pyrilia haematotis,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrilia,Pyrilia pulchra,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrilia,Pyrilia pyrilia,
CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Pyrocephalus,Pyrocephalus nanus,
Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,Pyrocephalus rubinus,Pechirrojo
CHORDATA,AVES,PASSERIFORMES,COTINGIDAE,Pyroderus,Pyroderus scutatus,
CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Pyrrhomyias,Pyrrhomyias cinnamomeus,
CHORDATA,ACTINOPTERYGII,CHARACIFORMES,LEBIASINIDAE,Pyrrhulina,Pyrrhulina eleanorae,
CHORDATA,ACTINOPTERYGII,CHARACIFORMES,LEBIASINIDAE,Pyrrhulina,Pyrrhulina obermulleri,
CHORDATA,ACTINOPTERYGII,CHARACIFORMES,LEBIASINIDAE,Pyrrhulina,Pyrrhulina spilota,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura albipectus,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura caeruleiceps,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura calliptera,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura chapmani,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura egregia,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura emma,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura hoematotis,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura melanura,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura orcesi,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura pacifica,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura parvifrons,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura peruviana,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura picta,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura rhodocephala,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura roseifrons,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura rupicola,
CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,Pyrrhura viridicata,
CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,HETERENCHELYIDAE,Pythonichthys,Pythonichthys sanguineus,
CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,OPHICHTHIDAE,Quassiremus,Quassiremus evionthas,
CHORDATA,AVES,PASSERIFORMES,COTINGIDAE,Querula,Querula purpurata,
Chordata,Aves,Passeriformes,Icteridae,Quiscalus,Quiscalus lugubris,María mulata
CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Quiscalus,Quiscalus mexicanus,
CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,RIVULIDAE,Rachovia,Rachovia pyropunctata,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,RACHYCENTRIDAE,Rachycentron,Rachycentron canadum,
CHORDATA,ACTINOPTERYGII,LAMPRIFORMES,RADIICEPHALIDAE,Radiicephalus,Radiicephalus elongatus,
CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,Rallus limicola,
CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,Rallus longirostris,
CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,Rallus semiplumbeus,
CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,Rallus wetmorei,
CHORDATA,AVES,PICIFORMES,RAMPHASTIDAE,Ramphastos,Ramphastos ambiguus,
CHORDATA,AVES,PICIFORMES,RAMPHASTIDAE,Ramphastos,Ramphastos brevis,
